RNA;nom;sigle;description;etat;dateDeValidationStatuts;siege;liste_activites;contact_adresse;contact_cp;contact_ville;site_web;anneeCreation
W332015577;Habitat pour actifs et retraités autonomes et solidaires;SARAH;L’élaboration de projets d’habitat coopératif régi par une charte du vivre ensemble. Pour ce faire, elle facilitera l'élaboration de Sociétés Coopératives de construction ou de toute autre forme juridique adaptée qui construiront un ou des ensembles immobiliers dans la Métropole de Bordeaux.;Validée;2013-05-16;Bordeaux;Habitat, logement;SARAH C23 8 rue Charles Durand;33300;Bordeaux;;2013
W332000858;Les petits frères des Pauvres;pfP;"L'association les petits frères des Pauvres a pour objet l'accueil, l'aide et l'accompagnement dans une relation fraternelle  et désintéressée, des personnes, en priorité de plus de 50 ans, souffrant de pauvreté, de solitude, d'exclusion, de précarité, de maladie grave, par des moyens et dans des conditions adaptées à chacune d'elles.
L'association sensibilise et alerte également l'opinion et les pouvoirs publics.";Validée;2016-01-07;Bordeaux;Accompagnement à la personne;7 rue Bouquière;33000;Bordeaux;https://www.petitsfreresdespauvres.fr/;
W332000467;Saint Augustin 2015;;"L’association a pour but d'accueillir et informer les résidents du quartier saint Augustin pour faciliter l’intégration au quartier,
de fédérer les énergies et créer des passerelles avec/entre les autres associations du quartier ou les autres acteurs sociaux
Maintenir les contacts avec les services publics pour participer aux évolutions urbaines.";Validée;2014-02-03;Bordeaux;"Associations de quartier;Associations de quartier";66 Allée des peupliers;33000;Bordeaux;http://www.saintaugustinavenir.com;2006
W332006072;Cie Apsaras Théâtre - Le Cerisier;;LE CERISIER est un lieu intermédiaire de pratiques artistiques situé à Bacalan créé par la compagnie Apsaras Théâtre. Ouvert à tous les arts vivants, c'est un espace d'expérimentation dans lequel les artistes professionnels et amateurs peuvent répéter, montrer leur travail au public et organiser leurs propres formations dans une salle adaptée à leurs besoins. Le Cerisier propose aussi des temps festifs!;Validée;2016-11-24;Bordeaux;"Théâtre;Contemporaine;Jeune public;Musiques du monde;Associations de quartier";7-11 rue joseph brunet;33300;Bordeaux;http://lecerisier.org/;1992
W332012387-003;Centres d'animation de Bordeaux - Centre d'animation Argonne Nansouty Saint Genès;;Les Centres d’animation de Bordeaux se composent aujourd’hui de 11 centres d’animation à vocation sociale et culturelle répartis sur les deux rives de Bordeaux. Le centre d’animation Argonne Nansouty St Genès propose un large panel d’activités et anime un pôle cultures urbaines s’articulant notamment autour de la pratique du hip-hop et du skate-board;Validée;2016-10-17;Bordeaux;"Centres d'animation / Centres sociaux;Centres de loisirs;Activités péri et extra scolaires;Soutien scolaire;Aide aux familles;Multimédia (informatique, numérique, photographie, vidéos, etc.);Gastronomie;Escalade;Arts plastiques;Couture, mode;Sports sous-marins;Théâtre;Eveil multisports;Hip hop;Contemporaine;Cirque;Pilates;Jeux de rôle;Formation, formation continue, apprentissage;Boxes;Musiques actuelles;Cinéma/Vidéo;Sportive;Jeux de société;Autres activités pour la vie de quartier;Du monde;Autres activités de bien-être;Self défense";1 bis rue Lhérisson;33000;Bordeaux;https://centresanimationbordeaux.fr;1963
W332000634;SOS Racisme Gironde;;"d'entreprendre, faire entreprendre toute action par toutes formes de moyens susceptible de résoudre les problèmes de discrimination, d'antisémitisme et de racisme ( sensibilisation, information,formation, vigilance)
SOS Racisme s'est développée sur l'ensemble du territoire a la suite d'une mobilisation massive de citoyens dans les années 1980 ayant pour volonté de faire progresser l’Égalité des droits.";Validée;2005-09-01;Bordeaux;Autres activités de citoyenneté;20 rue bergeret;33000;Bordeaux;;1985
W332012387-019;Centres d'animation de Bordeaux - Centre d'animation Bordeaux Lac;;Les Centres d’animation de Bordeaux se composent aujourd’hui de 11 centres d’animation à vocation sociale et culturelle répartis sur les deux rives de Bordeaux. Le centre d’animation Bordeaux Lac propose un large panel d’activités et anime un pôle d’excellence environnement notamment grâce à la ferme pédagogique.;Validée;2016-10-17;Bordeaux;"Centres d'animation / Centres sociaux;Centres de loisirs;Activités péri et extra scolaires;Formation, formation continue, apprentissage;Soutien scolaire;Aide aux familles;Gastronomie;Equitation;Bricolage, jardinage, décoration;Jardinage et culture urbaine;Ecologie";79 cours des Aubiers;33300;Bordeaux;https://centresanimationbordeaux.fr/;1963
W332012387-020;Centres d'animation de Bordeaux - Centre d'animation Sarah Bernhardt;;Les Centres d’animation de Bordeaux se composent aujourd’hui de 11 centres d’animation à vocation sociale et culturelle répartis sur les deux rives de Bordeaux. Le centre d’animation Sarah Bernhardt, au cœur du quartier Ginko, propose un large panel d’activités en lien avec de nombreux partenaires.;Validée;2016-10-17;Bordeaux;"Centres d'animation / Centres sociaux;Centres de loisirs;Activités péri et extra scolaires;Soutien scolaire;Aide aux familles;Formation, formation continue, apprentissage;Gastronomie;Randonnée pédestre;Couture, mode;Sculpture, peinture;Yoga";33 cours du Québec;33300;Bordeaux;https://centresanimationbordeaux.fr/;1963
W332018321;Association ZEKI;;L’association ZEKI a pour objectif l’intégration des publics défavorisés par l’apprentissage du français (lutte contre l’illettrisme, alphabétisation, Français Langue Étrangère) et par l’appropriation ou la réappropriation des savoirs de base aujourd’hui requis dans la vie quotidienne et dans le monde du travail (mathématiques, numérique).;Validée;2001-10-31;Bordeaux;Autres activités éducatives;79 cours des Aubiers;33300;Bordeaux;;2001
W332003320;Association Sport Emploi;ASE;L'association Sport Emploi a pour but de faciliter l'accueil, l'information, l'orientation, la formation, l'insertion et l'emploi de tout public par le biais de la pratique sportive.;Validée;2005-02-01;Floirac;Accompagnement à l'insertion professionnelle;4 avenue Camille Pelletan;33270;Floirac;https://www.asso-sportemploi.com/;2005
W601013551;Générations Futures - Groupe local de Bordeaux;;"Générations Futures est une association loi 1901 créée en 1996 et reconnue d’intérêt général pour la défense de l’environnement.
Le groupe local de Bordeaux a été créé fin 2015. Ses bénévoles contribuent aux actions d'information sur les risques des pollutions chimiques et de leurs effets sur la santé (particulièrement sur les pesticides), et fait la promotion des alternatives.";Validée;2016-06-11;Ons en Bray;Ecologie;6 rue Ferrere;33000;Bordeaux;https://bordeaux.generations-futures.fr;1996
W332023071;Handi Cap Nouvelle Aquitaine;HCNA;Handi CAP Nouvelle Aquitaine est une association loi 1901 qui a pour objet d'informer les personnes touchées et concernées par le handicap ou la perte d'autonomie sur les loisirs accessibles des secteurs du tourisme, de la culture, du sport présents en Nouvelle Aquitaine. Elle fait coopérer les partenaires de ces secteurs pour collecter et organiser la diffusion de ces informations.;Validée;2018-01-11;Mérignac;;436 avenue de Verdun;33700;Mérignac;;2018
W332008906;Bordeaux Dance In Club;BDIC;Association de Danse Sportive qui a pour but de regrouper les danseurs et promouvoir la danse sportive pour tous les âges à Bordeaux;Validée;2013-06-28;Bordeaux;Amicales - Confréries - Clubs;11 rue de l'hermitage;33200;Bordeaux;https://bordeauxdanceinclub.fr;2009
W332004784;Palestine33, groupe local de l'AFPS (Association France Palestine solidarité);;"Palestine33 a pour but d’apporter un soutien tant moral que matériel au peuple palestinien qui se bat contre l'apartheid, la colonisation, les spoliations, pour que le droit s'impose enfin.
Nos moyens d’action sont notamment des campagnes de souscription pour financer des acteurs locaux, l'information de la population girondine par des conférences, expositions, publications et autres formes d’intervention publique.";Validée;2011-11-19;BORDEAUX;Autres aides internationales;27, rue de Belgique;33800;BORDEAUX;;1991
W332006510;La porte ouverte Bordeaux;;La Porte Ouverte est un lieu où toute personne qui le désire peut venir rencontrer quelqu'un à qui parler en face à face. Un lieu qui permet tout simplement d'exister dans l'anonymat, la confidentialité et le non jugement, et ce, gratuitement et sans rendez vous.;Validée;2005-01-01;Bordeaux;Autres activités d'entraide et de solidarité;14 rue Ségalier;33000;Bordeaux;;2005
W332017145;Be well;;Promouvoir et renforcer le lien social par le biais de séances axées sur les activités sportives de Loisir, Santé et Bien-être au plus grand nombre quelque soit l'âge, l'environnement et la condition physique initiale. Entretenir et améliorer la condition physique pour un mieux-être au quotidien.;Validée;2014-06-30;Bordeaux;Remise en forme;Be well Boite 1 - 1 place Saint Christoly;33000;Bordeaux;http://www.bewell-association.fr;2014
W332006276;France Alzheimer Gironde;FAG;Ecoute, Accueil, soutien des familles et des malades atteints de la maladie d'Alzheimer ou maladies apparentées;Validée;2008-06-02;Bordeaux Cedex;Aide aux familles des malades;52 rue des Treuils;33082;Bordeaux Cedex;;1992
W332005788;Association Familiale Laïque de Bordeaux Nord;AFL BX NORD;Défense des intérêts des familles dans la consommation. Protection de l'environnement, amélioration du cadre de vie. Diffusion des connaissances, développement de la culture, utilisation éducative et culturelle du temps libre, promotion laïque d'une société plus libre, plus juste. Défense des usagers pour l'enseignement, l'éducation, la santé, les loisirs le sport. Apprentissage au français, à la citoyenneté.;Validée;1986-10-29;Bordeaux;"Autres activités de citoyenneté;Autres activités de prévention";223 rue Achard;33300;Bordeaux;;1986
W332008772;Maison de l'Europe Bordeaux-Aquitaine;;La Maison de l’Europe Bordeaux-Aquitaine (MEBA) est une association régie par la loi de 1901, qui est à la fois un centre de ressources sur l’Europe, un incubateur de projets européens mais aussi un lieu de débats et d’échanges citoyens. Elle est très rapidement devenue un lieu incontournable de rencontres et d’échanges grand public, à travers d’événements réunissant des personnes de tous âges et de tous horizons...;Validée;2018-06-25;BORDEAUX;"Cultures régionales;Autres activités de citoyenneté;Photos;Autres activités jeunesse et vie étudiante";1 Place Jean Jaurès;33000;BORDEAUX;http://europe-bordeaux.eu/fr/accueil/;2009
W332023430;STM Institute;STMI;Promouvoir, enseigner et faire découvrir l'hypnothérapie et la RTT ( Rapid Transformational Therapy ) à travers ateliers, séminaires et séances.;Validée;2018-05-02;Le Bouscat;Autres activités de bien-être;1 rue Abel Antoune;33110;Le Bouscat;;2018
W332008241;Aquitaine Partage;RCF Bordeaux;Radiodiffusion d'émissions d'inspiration chrétienne;Validée;2003-04-29;Bordeaux;Autres activités d'entraide et de solidarité;145 rue Saint Genès;33000;Bordeaux;;1981
W332012996;Alienor tribal;ATS;Cette association a pour objet la diffusion, la promotion et l’apprentissage de la danse de style tribal et de la culture qui lui est attachée: dispense de cours, participation à des manifestations, organisation de stages, création de spectacles, création de costumes et accessoires.;Validée;2011-10-10;Bordeaux;Du monde;132 cours de l'yser;33800;Bordeaux;;2011
W332022082;Afrique Ebène;;"Arts & Divertissement 
Association à but non lucratif, qui a pour objectif principal de promouvoir l'art ainsi que la créativité de l’Afrique et de l'Occident.";Validée;2017-07-04;Pessac;Arts plastiques;1 rue de L'Estragon Apt 91;33600;Pessac;;2017
W332006614;Expression;;L’association Expression est un lieu de pratiques culturelles et artistiques. Elle propose des ateliers hebdomadaires et mensuels. Elle regroupe sur un même lieu la danse, le yoga, la peinture, la sophrologie, le tissage à partir de matériaux de recyclage et le travail corporel. Elle offre un espace propice à la création dans un cadre apaisant et atypique au cœur de Bordeaux, dans le quartier Fondaudège.;Validée;2019-06-25;Bordeaux;"Contemporaine;Yoga;Sculpture, peinture;Autres activités manuelles et cours;Relaxation, sophrologie;Détente";23 impasse Sully;33000;Bordeaux;http://www.associationexpression.com/;1982
W332016669;Écouter son corps;;Spécialisée dans la Gymnastique douce de bien-être. Les moyens d'action sont, entre autre, : la méthode Pilates, le Qi gong (gymnastique chinoise), Do-in, auto-massages, méditation, les étirements éducatifs, yoga, la marche consciente (afghane), coaching, organisation de stages, d'ateliers.;Validée;2014-03-03;Bordeaux;"Pilates;Relaxation, sophrologie;Qi Gong;Renforcement musculaire;Coaching;Remise en forme;Marche active;Yoga";1 rue Erik Satie, Clos Montesquieu;33200;Bordeaux;;2014
W332011519;Théâtre La Boîte à Jouer;;La Boîte à Jouer accueille des compagnies pour travailler dans ses locaux et propose une programmation nomade qui se balade dans différents quartiers de Bordeaux. Les spectacles sont pour tous les âges (bébés, enfants, ado et tous publics) et de genres multiples (théâtre, marionnette, clown, théâtre-musical...) afin de permettre à toutes personnes de venir selon ses goûts. Ses tarifs sont accessibles.;Validée;1987-09-25;Bordeaux;Théâtre;50 rue Lombard;33300;Bordeaux;;1987
W332009483;Cap Sciences;;Diffusion de la culture scientifique, technique et industrielle;Validée;2018-01-18;Bordeaux;"Autres sciences;Archéologie / Anthropologie";Hangar 20, quai de Bacalan;33300;Bordeaux;http://www.cap-sciences.net/;1994
W448895813;Maison d'Algérie en Aquitaine;M2A;La maison d’Algérie en Aquitaine est une association citoyenne socio-culturelle régie par la loi 1901. Crée en 2001, elle a pour objet d’être un pôle franco-algérien de rencontres interculturelles et passerelle entre les générations. Elle favorise l'insertion sociale, l’accès à la citoyenneté, l’intégration, et la lutte contre les discriminations et le communautarisme, membre du conseil de la diversité de Bordeaux.;Validée;2001-08-28;Bordeaux;"Accompagnement à la personne;Musiques du monde";10 rue Permentade;33000;Bordeaux;;2001
W332022575;Jardin Partagé du Parc Rivière : J2PR;;Gestion d'un jardin partagé mis à sa disposition par la ville de Bordeaux dans le parc Rivière à Bordeaux;Validée;2018-01-20;BORDEAUX;Jardinage et culture urbaine;Résidence Tivoli;33000;BORDEAUX;;2017
W332000703;Association Ornano Gaviniès Saint Victor;ORGAVI;Orgavi est l'association des commerçants du quartier Ornano - Gaviniès - Saint Victor. Elle organise plusieurs manifestations par an afin d'animer le quartier : Festi Folies au printemps : des animations pour les enfants offertes, un repas préparé par des restaurateurs bénévoles du quartier suivi d'une soirée musicale, un loto à l'automne, et en Décembre un Arbre de Noël pour les enfants du quartier.;Validée;2014-02-07;Bordeaux;"Vivre ensemble, vie quotidienne;Autres activités jeunesse et vie étudiante";268 bis rue d'Ornano.;33000;Bordeaux;;1998
W332005993;Union Bordeaux Métropole;UBM;La présente association, sans but lucratif, a pour objet la pratique et l'organisation de toutes activités sportives, éducatives, culturelles, de loisirs, bien-être, gastronomiques. L’association est ouverte aux agents de la Mairie de Bordeaux, de la Métropole de Bordeaux (EPCI), et des communes membres de la Métropole, actifs et retraités ainsi qu’à leurs ayants droit et extérieurs (article 5).;Validée;1981-04-11;Bordeaux;Amicales - Confréries - Clubs;Esplanade Charles de Gaulle;33045;Bordeaux;;1981
W332017437;Pop Project;;Cette association a pour but de proposer des formations musicales et modulables pour différentes prestations : des concerts publics, événements privés... Cette association peut aussi sonoriser des groupes.;Validée;2014-09-01;Bordeaux;Musiques actuelles;41 cours Le Rouzic;33100;Bordeaux;;2014
W332002156;Insup Formation;;Insup Formation est un organisme de formation présent en Nouvelle-Aquitaine et en Vendée. Nos missions depuis près de 40 ans consiste à soutenir les entreprises du territoire dans leur politique de formation, faciliter l’accès de tous à la formation, accompagner salariés et demandeurs d'emploi dans leur projet professionnel, aider chaque individu à trouver ou retrouver sa place dans la société-le marché du travail.;Validée;2016-07-01;Bordeaux;Formation, formation continue, apprentissage;37 rue Labottière;33000;Bordeaux;https://insup.org/;1980
W332014404;Dojo Bordeaux;Dojo;Pratique des arts martiaux;Validée;2012-08-29;Bordeaux;"Judo et disciplines associées;Aïkido;Boxes;Karaté et disciplines associées;Muaythaï et disciplines associées;Self défense;Taekwondo";84 cours Aristide Briand;33000;Bordeaux;http://www.dojobordeaux.fr;2012
W332014726;Bordeaux Entrepreneurs;;Bordeaux Entrepreneurs a pour vocation est de soutenir l’écosystème entrepreneurial et d’accompagner le développement des startups dans la région bordelaise. Avec aujourd'hui plus de 100 startups adhérentes, Bordeaux Entrepreneurs se fixe des objectifs très concrets pour les créateurs d’entreprises et les sociétés souhaitant se développer ou s’implanter dans la région : ateliers, conférences, événements, etc.;Validée;2013-12-20;Bordeaux;Autres activités pour l'emploi, l'insertion professionnelle, la formation;3 Rue du Commandant Cousteau;33100;Bordeaux;http://www.bordeaux-entrepreneurs.com/;2012
w332020434;WeJob;;WeJob propose des services d'insertion et de ressources humaines innovants, aux demandeurs d'emploi et aux entreprises. WeJob associe des démarches collaboratives à de l'expertise et de l'accompagnement spécialisé. L'offre de WeJob s'adresse aux personnes en recherche d'emploi et aux entreprises avec des programmes collectifs et individuels, des services de formation, de recrutement et de conseil.;Validée;2016-07-27;Bordeaux;Autres activités pour l'emploi, l'insertion professionnelle, la formation;42 rue Marechal Joffre;33200;Bordeaux;http://www.we-job.com/;2016
W332012757;Le Festin;;Depuis près de trente ans, la revue le festin permet à un large public de découvrir les richesses artistiques du Sud-Ouest. Elle est aujourd’hui reconnue comme la première publication culturelle et touristique de la région. Du local à l’universel, des monuments historiques à la création la plus contemporaine, la revue trimestrielle défend en effet une vision dynamique et originale de la culture.;Validée;2018-07-11;Bordeaux;Patrimoine;176 rue Achard;33300;Bordeaux;;1989
W332009025;Bell'Italia;;Cours d'italien avec des professeurs italiens expérimentés.;Validée;2019-05-02;Bordeaux;Littérature;17 rue des Remparts;33000;Bordeaux;;1999
W332023676;Les amis de l'Oasis du Coq à l'Âme;;Soutenir la construction et la vie d'un éco-lieu;Validée;2018-05-26;Bordeaux;Démocratie participative, action locale;73 rue Caména d'Almeida;33000;Bordeaux;;2018
W332021400;Astronomie sensorielle;AS;L’association s’adresse à toute sorte de public et de tout âge .L’objectif de l’association étant de faire découvrir l’astronomie à tout public et particulièrement aux personnes en situation de handicap. Et, par une démarche ludique, faire prendre conscience du handicap. En effet, l’association a pour but d’être accessible à un maximum de personnes, ainsi, les activités sont adaptées aux différentes situations.;Validée;2017-01-27;Bordeaux;Astronomie / Astrologie;16 rue André Darbon;33300;Bordeaux;http://www.astronomiesensorielle.fr;2017
W863004990;Centre Régional Information Jeunesse Nouvelle Aquitaine site Bordeaux;CRIJNA Bordeaux;"Mettre à la disposition de tous les jeunes, et plus largement du grand public, par tous les moyens appropriés, les informations qui les intéressent dans tous les domaines ; favoriser l'autonomie, l'initiative et l'engagement des jeunes ; centre de ressource à vocation locale, départementale et régionale ; mise en place d'actions, d'activités et de manifestations pour répondre à la demande ou la susciter.";Validée;2018-03-22;Bordeaux;"Autres activités de citoyenneté;Autres activités jeunesse et vie étudiante;Développement du bénévolat;Accueil, information, orientation;Autres activités pour l'emploi, l'insertion professionnelle, la formation";125 cours d'Alsace et Lorraine;33000;Bordeaux;http://www.jeuneabordeaux.fr;2018
W332019817;Aux captifs la libération;;Dans un esprit à orientation chrétienne, l'association a pour objet la tournée-rue, l'accueil des personnes de la rue, principalement prostituées, visant à la sortie de l'exclusion et à la réinsertion sociale et professionnelle.;Validée;2016-01-20;Bordeaux;Autres activités d'entraide et de solidarité;10 rue de la Seiglière;33800;Bordeaux;;2016
W332021862;Fédération des Maisons Des Lycéen.ne.s - Nouvelle-Aquitaine;FMDL-NA;La Fédération des MDL – Nouvelle-Aquitaine, se veut une réponse aux différentes problématiques rencontrées par les MDL au sein des établissements. Elle fédère les MDL sur tout le territoire, les accompagne, les aide à se développer, soutien et propose des projets à divers échelles.;Validée;2017-04-18;Bordeaux;Développement de la citoyenneté;10 rue des Treuils;33000;Bordeaux;;2017
W332014198;Familles en Gironde;;Notre mission est de développer entre les familles, sans distinction de confessions, d'opinions politiques, de catégories professionnelles, de nationalité, de dimension de famille, ni d'origine géographique, un esprit d'entraide et de solidarité et de gérer dans ce but des services d'intérêt général.;Validée;1947-11-30;Bordeaux;Aide aux familles;Cours de l'intendance;33000;Bordeaux;http://www.association-familles-gironde.fr;1948
W332012959;Bordeaux Cité Tango;BCT;Cette association a pour but de promouvoir des activités autour de la culture argentine.;Validée;2011-10-13;Bordeaux;Du monde;85 cours Victor Hugo;33000;Bordeaux;http://www.bordeaux-tango-festival.com;2011
W332008736;Tout Art Faire;;Tout Art Faire est une association aux idées bouillonnantes et innovantes qui veut rendre la culture accessible à tous. À pied ou à vélo, dans les musées ou lors de conférences, partagez la bonne humeur et la convivialité de nos intervenants qualifiés ET passionnés ! Depuis 2009, dynamisme, enthousiasme et variété sont les clés de notre succès !;Validée;2009-11-16;BORDEAUX;Patrimoine;66 rue de l'école Normale;33200;BORDEAUX;http://toutartfaire.com/;2009
W332004165;Totoche Prod;;Totoche Prod se donne pour mission de produire (faire exister, créer, concevoir ) des événements visant à promouvoir  la création artistique actuelle - Art contemporain, art numérique, performance & art vidéo - ayant pour thème le corps contemporain. Ces événements posent un regard singulier sur le corps et ses représentations dans les arts visuels actuels à travers des réflexions plastiques et artistiques engagées.;Validée;2005-01-24;-Bordeaux-;Arts plastiques;5, rue de l'Observance;33000;-Bordeaux-;http://www.totocheprod.fr/;2005
W332014006;Forro Bordeaux;;"Promouvoir et développer la culture, l'esprit et la pratique de la danse de Bal brésilienne ""Forró"".
L'association organise des cours hebdomadaires, des stages et des soirées bien sûr !
La pratique de la danse forró est ouvert à tous, non danseurs et danseurs d'autres danses de salon : Salsa, Kizomba, Tango, Rock, Bachata, Samba de gafieira, West Coast..";Validée;2012-04-28;Bordeaux;Du monde;129 cours du Médoc;33300;Bordeaux;https://www.forrobordeaux.fr;2012
w332021283;Halles de Bourbon;H2B;L’association les Halles de Bourbon (H2B) est née en 2016 dans un quartier en pleine mutation, entre le cours Edouard Vaillant et la rue Lucien Faure. L’association s’est développée par la rencontre de quelques habitants partageant le souhait de construire une âme de quartier, en favorisant le lien social autour d’une vie de quartier, riche, conviviale et dans un environnement vert.;Validée;2016-12-02;Bordeaux;Associations de quartier;6 rue Charles Durand;33300;Bordeaux;;2016
W332018095;Les Caprices de Marianne;;De la musique classique oui, mais autrement ! La recette est simple : un concert de musique classique présenté et partagé de façon ludique et détendue (aux Caprices, tout le monde porte des baskets, même les musiciens !) avec des musiciens professionnels de haut niveau, capables à la fois d'une fidélité scrupuleuse à la musique et d'ouverture à un public qui vient en faire une première rencontre.;Validée;2016-03-24;Bordeaux;Classique;12, rue Jules Steeg;33800;Bordeaux;;2015
W133009282;Association pour le respect de l'environnement sur les manifestations culturelles et sportives;AREMACS;Aremacs est une association loi 1901 à but non lucratif créée en 2004. Elle a pour objectif de limiter les impacts environnementaux des manifestations sociales, culturelles et sportives en proposant des solutions concrètes aux organisateurs d’événements pour réduire, gérer et valoriser les déchets et en sensibilisant les publics des événements au respect de l’environnement.;Validée;2017-02-13;Bordeaux;Ecologie;11 rue des puits descazeaux;33000;Bordeaux;http://aremacs.com/;2004
W332010701;Société bordelaise d'aquarelle;SBA;La promotion de l’aquarelle, notamment par le biais d’organisation d’événements, de manifestations, expositions;Validée;2018-06-12;Bordeaux;Sculpture, peinture;112 rue Mac Carthy;33200;Bordeaux;;2010
w332020693;Graine d'adulte;;"Optimiser le potentiel de l'enfant en développant le talent parental. Des clubs de parents sont donc proposés sur les thématiques suivantes :
J'aide mon enfant à réussir à l'école : techniques pour apprendre efficacement en s'amusant lors des devoirs.
La discipline positive à la maison : comment cadrer l'enfant sans utiliser punition, fessées, chantage.";Validée;2017-11-04;Bordeaux;Soutien scolaire;4 impasse de la Merci;33000;Bordeaux;http://www.grainedadulte.fr;2016
W763011543;Association Française du Gougerot Sjögren et des Syndromes Secs;AFGS;L'AFGS reconnue d'utilité publique en 1990 a pour but : informer sur la maladie, aider financièrement la recherche, apporter un soutien moral aux patients, permettre aux patients de se rencontrer. Le syndrome de Gougerot Sjögren est une maladie inflammatoire chronique et auto-immune caractérisée par un syndrome sec, des douleurs articulaires, une fatigue intense avec parfois des complications systémiques.;Validée;2009-03-16;Bordeaux;Accompagnement des patients;32 rue Auguste Poirson;33000;Bordeaux;http://www.afgs-syndromes-secs.org;1990
w751054185;Association pour le droit de mourir dans la dignité;ADMD;L’association pour le droit de mourir dans la dignité milite pour que chaque Française et chaque Français puisse choisir les conditions de sa propre fin de vie.;Validée;2015-09-12;Paris;Défense des libertés;7 Chemin de Maransin;33440;Ambares;;1980
W332018925;Repair Café Bordeaux;;"Organisation d'ateliers d'aide à la réparation des objets du quotidien par des réparateurs bénévoles. Petit électro-ménager, ordinateurs, appareils électriques, téléphones, vêtements... (pas de gros électro ménager ni de four micro ondes)
Les Repair Cafés ont lieu en partenariat avec un lieu d'accueil différent chaque mois.";Validée;2015-08-08;Cestas;Ressourceries, recyclage;32 rue Marcelin Berthelot;33200;Bordeaux;http://repair-cafe-bordeaux.org/;2015
W333002535;Association notre dame des barrails;;Accueillir des personnes (avec ou sans addiction) ou des familles en errance (de toutes nationalités ou religions) qui veulent se mettre à l'abri pour changer de vie. Il s'agit de vivre ensemble avec des personnes de bonne volonté pour les aider à se saisir de toutes les possibilités qui leur seront proposées pour faire aboutir leurs projets. CE N'EST PAS UN ACCUEIL D'URGENCE.;Validée;2018-05-03;bordeaux;Autres activités d'entraide et de solidarité;14 place Saint Martial;33300;bordeaux;https://www.lamaisondemarie.net/;2002
W332020828;Coordination des Associations de Défense des Victimes de l'Amiante et des Maladies Professionnelles;CAVAM;Coordination nationale d'associations de défense de victimes de maladies professionnelles faisant suite à une exposition à un agent cancérigène Deux axes prioritaires : mener les luttes pour améliorer la défense des victimes de maladies professionnelles à la suite d'exposition(s) à un agent cancérigène et et tout mettre en œuvre pour l'éradication et l'élimination définitive de l'amiante de notre pays.;Validée;2018-10-04;Bordeaux;Autres activités de prévention;5 place Amédée Larrieu;33000;Bordeaux;;2016
W332019619;Le Grand Soir;LGS;"Organiser, créer, réaliser, développer, favoriser la musique dans ses différentes formes et moyens d’expression ; l’association est un outil au service de l’animation, de la promotion musicale ; elle a pour vocation de démocratiser l’accès à la musique et à favoriser le lien social.";Validée;2018-02-26;BORDEAUX;Musiques actuelles;54 RUE DE LALANDE;33000;BORDEAUX;;2016
W332023735;Tous aux abris !;;"Concevoir et réaliser des abris de protection pour animaux liminaires menacés (oiseaux, chauve-souris, hérissons, abeilles…), dans une démarche sociale participative et pédagogique, ainsi que prospective sur le plan scientifique.
Concevoir et réaliser en atelier partagé du mobilier intérieur et extérieur pour abriter le vivant, afin de favoriser la biodiversité.
Expérimenter une organisation collégiale.";Validée;2018-07-11;Bordeaux;"Jardinage et culture urbaine;Ecologie;Ressourceries, recyclage;Habitat, logement";31 bis rue Barillet Deschamps;33300;Bordeaux;https://tousauxabris.org/;2018
W332021949;Bordeaux Systema;;Bordeaux Systema propose un art martial interne issu des traditions russes, dans un but de développement personnel.;Validée;2017-05-29;Bordeaux;Self défense;c/o Bertrand Pons;33800;Bordeaux;https://www.systemabordeaux.fr;2017
W751019820;APF France handicap;Délégation 33;"Nos missions associatives : 
- Favoriser l'égalité des chances et la citoyenneté des personnes en situation de handicap
- Accueillir et accompagner
- Revendiquer et représenter
- Développer et dynamiser.";Validée;1933-05-17;BORDEAUX;Aide à la personne;30 rue Delacroix;33200;BORDEAUX;http://apf33.blogs.apf.asso.fr/;1933
W332001114;Citoyens et Justice;C&J;Fédération des associations socio-judiciaires, Citoyens et Justice regroupe à ce jour environ 150 associations. Dans le cadre de mesures judiciaires, en pré et post sententiel, ces services sociaux d’intérêt général exercent, auprès de victimes et d’auteurs d’infraction qu’ils soient majeurs ou mineurs, des missions d’accompagnement, d’investigation et de pacification des conflits et ce sur l’ensemble du territoire.;Validée;2012-06-21;Bordeaux;Autres activités en faveur de la justice;351 boulevard du Président Wilson;33000;Bordeaux;http://www.citoyens-justice.fr/;1982
w332008133;Tchernoblaye;;Informer sur les graves dangers que représente l'industrie nucléaire civile et militaire. Lutter contre l'activité des centrales nucléaires et obtenir leur fermeture, tout particulièrement en ce qui concerne la centrale nucléaire du Blayais.;Validée;1999-12-15;Bordeaux;Ecologie;5 place Camille Julian;33000;Bordeaux;http://tchernoblaye.free.fr;2000
W332009370;Société d'Horticulture, d'Arboriculture et Viticulture de Caudéran;SHAV;"Centre de formation arboriculture et horticulture : cours théorique et pratique le samedi et le dimanche par des bénévoles.
Sensibilisation des élèves de maternelle et d’élémentaire du quartier de Caudéran à l’arboriculture et à l’horticulture : reconnaissance des fruits sur les arbres et reconnaissance des fleurs au sein du jardin.
Création de jardins partagés d’utilité privé ou publique.";Validée;1999-11-21;Bordeaux;Jardinage et culture urbaine;23 rue de l'Eglise;33200;Bordeaux;;1901
